Year,Units,Value
2015,Millions of GHC," 1,743.51 "
2016,Millions of GHC," 1,034.34 "
2017,Millions of GHC," 1,534.85 "
2015,Millions of  US Dollars, 461.24 
2016,Millions of  US Dollars, 263.86 
2017,Millions of  US Dollars, 352.03 
